product_id,rating
B08Y57TPDM,4.30
B09CYTJV3N,4.30
B07GLNJC25,3.70
B08FY4FG5X,3.90
B07TMCXRFV,4.50
B01FSYQ2A4,4.10
B00LZPQVMK,4.00
B08X77LM8C,3.80
B01EJ5MM5M,3.40
B08J82K4GX,4.30
B07Z1Z77ZZ,4.30
B00DJ5N9VK,4.30
B0B4DT8MKT,4.20
B08FGNPQ9X,4.10
B07NTKGW45,4.00
B08CDKQ8T6,4.30
B08J4PL1Z3,4.00
B07XJWTYM2,4.10
B09939XJX8,4.00
B09MDCZJXS,3.80
B08CTQP51L,4.20
B0BG62HMDJ,4.30
B08GTYFC37,4.40
B08SBH499M,4.10
B08FYB5HHK,4.50
B0994GFWBH,4.00
B0B5GJRTHB,4.20
B09GBBJV72,3.90
B07P434WJY,4.30
B07T9FV9YP,4.00
B01GGKZ0V6,4.20
B08WKFSN84,4.30
B09TBCVJS3,4.20
B08TR61BVK,4.20
B0B2CPVXHX,4.10
B08XNL93PL,4.30
B088GXTJM3,4.30
B099S26HWG,4.20
B08461VC1Z,4.50
B00K32PEW4,4.40
B09F9YQQ7B,4.20
B07LFWP97N,4.10
B0746N6WML,4.30
B07W9KYT62,4.40
B0B5ZF3NRK,4.10
B08D9MNH4B,3.60
B078G6ZF5Z,4.00
B09MKG4ZCM,4.00
B07RZZ1QSW,4.40
B08BCKN299,3.90
B07222HQKP,4.30
B00NFD0ETQ,4.60
B075DB1F13,4.40
B0148NPH9I,4.50
B01JOFKL0A,3.90
B09Q8HMKZX,4.10
B079S811J3,4.30
B0083T231O,4.50
B086PXQ2R4,4.50
B07L1N3TJX,3.60
B07YFWVRCM,4.10
B01GGKYKQM,4.30
B08TDJ5BVF,3.80
B09XXZXQC1,4.60
B083T5G5PM,4.10
B0BHVPTM2C,4.00
B0B86CDHL1,4.50
B01NBX5RSB,4.30
B08MWJTST6,4.00
B07R99NBVB,4.50
B08R69VDHT,4.00
B00LY12TH6,4.50
B09RWZRCP1,4.10
B08497Z1MQ,4.30
B07KNM95JK,4.10
B09Q3M3WLJ,4.00
B09B9SPC7F,4.10
B09CMP1SC8,4.10
B099SD8PRP,4.40
B09YLXYP7Y,4.00
B00S2SEV7K,4.10
B08WKCTFF3,4.40
B08498D67S,4.30
B00C3GBCIS,4.20
B00URH5E34,3.60
B00EYW1U68,4.20
B08SMJT55F,4.20
B0B2DJDCPX,3.90
B08Y7MXFMK,4.20
B086Q3QMFS,4.50
B08498H13H,4.30
B07LFQLKFZ,4.20
B00LY17RHI,4.10
B07W14CHV8,4.10
B0B9BXKBC7,4.60
